Lvl;Bonus;Proficiency Features;1;2;3;4;5
1;2;Divine Sense, Lay on Hands;;;;;
2;2;Fighting Style, Spellcasting, Divine Smite;2;;;;
3;2;Divine Health, Sacred Oath;3;;;;
4;2;Ability Score Improvement;3;;;;
5;3;Extra Attack;4;2;;;
6;3;Aura of Protection;4;2;;;
7;3;Sacred Oath Feature;4;3;;;
8;3;Ability Score Improvement;4;3;;;
9;4;;4;3;2;;
10;4;Aura of Courage;4;3;2;;
11;4;Improved Divine Smite;4;3;3;;
12;4;Ability Score Improvement;4;3;3;;
13;5;;4;3;3;1;
14;5;Cleansing Touch;4;3;3;1;
15;5;Sacred Oath Feature;4;3;3;2;
16;5;Ability Score Improvement;4;3;3;2;
17;6;;4;3;3;3;1
18;6;Aura Improvements;4;3;3;3;1
19;6;Ability Score Improvement;4;3;3;3;2
20;6;Sacred Oath Feature;4;3;3;3;2
