Roll d100;Sword
01-35;Sword +1
36-40;Sword +1, +2 vs. Lycanthropes
41-45;Sword +1, +2 vs. Magic-Users & Enchanted Monsters
46-50;Sword +1, Locating Objects Ability
51-60;Sword +1, +3 vs. Trolls (Clerics)
61-65;Sword, Flaming: +1, +2 vs. Trolls (Pegasi, Hippogriffs, & Rocs), +3 vs. Undead (Ents)
66-70;Sword +1, Wishes Included (2-8 Wishes)
71-75;Sword +1, +3 vs. Dragons
76-78;Sword +2
79-80;Sword +2, Charm Person Ability
81-82;Sword +3
83;Sword, One Life Energy Draining Ability
84-00;Sword -2 (Cursed Sword)
